field_path,field_group,industry_meaning,source_category,source_categories,source_ids,simulation_role,evidence_role,value_status,requires_real_validation_later,first_batch_required,notes
procedure_fields.travel_speed,procedure_fields,焊接行走速度关联运动生成和热输入占位,public_process_reference,shipbuilding_case;public_process_reference;standard_reference;public_dataset_schema,vendor-kranendonk-panel-welding-gantry;standard-aws-swps-public-page;guide-lincoln-electric-gmaw;guide-esab-fcaw-gmaw;guide-miller-gmaw;dataset-zenodo-tandem-gmaw-17951725,motion_parameter,field_coverage,public_reference_plus_schema,true,true,可进入仿真轨迹速度字段但不得当作质量验证
procedure_fields.trajectory,procedure_fields,TCP 轨迹用于机器人路径和技能样本主体,shipbuilding_case,shipbuilding_case;project_internal;paper;public_dataset_schema,case-siemens-hd-hyundai-mipo-autonomous-welding;vendor-kranendonk-panel-welding-gantry;project-260522-shipbuilding-welding-brain-plan;paper-shipbuilding-robot-welding-screening;dataset-zenodo-tandem-gmaw-17951725,simulation_output,motion_template,supporting_schema,true,true,真实控制器程序不在当前范围
procedure_fields.torch_angle,procedure_fields,焊枪工作角和行进角用于角焊及姿态复现,shipbuilding_case,shipbuilding_case;project_internal,vendor-kranendonk-panel-welding-gantry;project-260522-shipbuilding-welding-brain-plan,pose_constraint,field_coverage,public_constraint_plus_project_placeholder,true,true,具体角度值需后续工艺确认
procedure_fields.quality_label,procedure_fields,质量标签用于标注仿真评分公开标签或待验证占位,public_dataset_schema,public_dataset_schema;project_internal,dataset-gdxray-weld-xray;dataset-riawelc-weld-image;dataset-lohi-weld;dataset-zenodo-metal-arc-welding-10017718;project-260522-shipbuilding-welding-brain-plan,quality_placeholder,vocabulary,public_vocabulary_or_simulation_placeholder,true,true,只作为词汇或占位不证明真实焊接质量
procedure_fields.defect_label,procedure_fields,缺陷标签用于气孔咬边未熔合等 vocabulary,public_dataset_schema,public_dataset_schema;public_process_reference,dataset-gdxray-weld-xray;dataset-riawelc-weld-image;dataset-lohi-weld;guide-twi-weld-defects;encyclopedia-wartsila-weld-defects,quality_vocabulary,vocabulary,public_vocabulary,true,conditional,后续需映射项目验收标签
procedure_fields.inspection_reference,procedure_fields,检查参考用于绑定标准入口公开数据集和检测术语,public_process_reference,standard_reference;public_dataset_schema;public_process_reference,standard-aws-swps-public-page;standard-aws-standards-index;dataset-gdxray-weld-xray;guide-twi-weld-defects;encyclopedia-wartsila-weld-defects,inspection_placeholder,procedure_reference,public_reference,true,conditional,不是验收标准正文也不是船级审查
geometry_spec.groove_geometry,geometry_spec,仿真几何层的坡口类型和尺寸结构,project_internal,project_internal,project-260522-shipbuilding-welding-brain-plan,geometry_input,task_mapping,simulation_assumption,true,true,用于 panel-butt 和后续厚板路线图
motion_spec.motion_template,motion_spec,运动模板用于直线摆动断续焊和多短焊缝序列,shipbuilding_case,shipbuilding_case;paper,case-siemens-hd-hyundai-mipo-autonomous-welding;vendor-kranendonk-panel-welding-gantry;paper-shipbuilding-robot-welding-screening,simulation_input,motion_template,public_constraint_plus_assumption,true,true,首批支持 single seam 和 seam list
process_spec.current,process_spec,过程规范层电流字段用于参数曲线或范围占位,public_dataset_schema,public_dataset_schema,dataset-zenodo-metal-arc-welding-10017718;dataset-zenodo-tandem-gmaw-17951725;dataset-mendeley-gmaw-screening-pool,parameter_schema,schema_reference,schema_only,true,true,公开数据集只支持字段形态和筛选线索
quality_spec.quality_label,quality_spec,质量规范层标签用于公开标签词汇仿真评分和验证状态,public_dataset_schema,public_dataset_schema;public_process_reference,dataset-gdxray-weld-xray;dataset-riawelc-weld-image;dataset-lohi-weld;guide-twi-weld-defects;encyclopedia-wartsila-weld-defects,quality_placeholder,vocabulary,public_vocabulary,true,true,必须保留 requires_real_validation_later
evidence_binding.requires_real_validation_later,evidence_binding,后续真实验证标记用于隔离假设值和真实合格结论,standard_reference,project_internal;standard_reference;paper,project-260522-shipbuilding-welding-brain-plan;standard-aws-swps-public-page;standard-aws-standards-index;paper-shipbuilding-robot-welding-screening,validation_gate,procedure_reference,required_marker,false,true,该字段本身是验证标记不再对自身要求二次验证
task_taxonomy.readiness,task_taxonomy,任务族处置状态用于区分 ready needs_more_sources defer,project_internal,project_internal;shipbuilding_case;public_process_reference,project-260522-shipbuilding-welding-brain-plan;vendor-kranendonk-panel-welding-gantry;case-siemens-hd-hyundai-mipo-autonomous-welding;vendor-kobelco-shipbuilding-welding,scenario_selection,task_mapping,manifest_derived,false,true,首批只允许 ready_for_synthetic_v2_plan 进入生成前设计
